review_id,original_view,destination,treatment,status,evidence
WCI01,Dashboard,weekly-checkin-portal/weekly-checkin-portal.html?tab=overview,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI02,Submit Bookings,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI03,Submit Revenue,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI04,Book & Bill,weekly-checkin-portal/weekly-checkin-portal.html?tab=inputs,Renomear,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI05,Narratives,weekly-checkin-portal/weekly-checkin-portal.html?tab=brief,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI06,Final Submission,weekly-checkin-portal/weekly-checkin-portal.html?tab=review,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI07,How to Use,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI08,RACI,weekly-checkin-portal/weekly-checkin-portal.html?tab=operating,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI09,Admin,data/index.html?tab=operations,Realocar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI10,CommOps AI,weekly-checkin-portal/weekly-checkin-portal.html?tab=copilot,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI11,GTM Dashboard,pipeline-pulse/pipeline-pulse.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI12,Pipeline Intel,funnel-management/pipeline-intelligence.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI13,Region Insights,pipeline-pulse/pipeline-pulse.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
WCI14,Sales Perf,sales-league/sales-league.html?tab=overview,Fundir,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI01,Pipeline Summary,funnel-management/pipeline-intelligence.html?tab=overview,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI02,Push & Pull Dynamics,funnel-management/pipeline-intelligence.html?tab=movements,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI03,Actuals Pacing,funnel-management/pipeline-intelligence.html?tab=pacing,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI04,Push-Out Analysis,funnel-management/pipeline-intelligence.html?tab=movements,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI05,Pull-In Analysis,funnel-management/pipeline-intelligence.html?tab=movements,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
PI06,Overdue Opportunities,funnel-management/pipeline-intelligence.html?tab=exceptions,Ajustar,Implemented or merged; supported functionality preserved,Shared metric tests and browser acceptance; see verification limits
